STATE,MUNI,CVE_LOC,LOC,NAME,INSTALLED,CURRENT,R,Y,X,TREATMENT,LEVEL,USE,USE_TYPE,COMMENTS
Mexico,Atizapan de Zaragoza,13,Ciudad Lopez Mateos,Club de Golf Hacienda,0.025,0.02,1,2163502.188,476410.789,Advanced Primary,1,Irrigation,Infiltrating,
Mexico,Huixquilucan,37,Huixquilucan de Degollado,Presa El Capulin,0.05,0.04,,2146891.958,473142.8546,NA,1,Lake,Infiltrating,Presa El Capulin
Mexico,Huixquilucan,37,Huixquilucan de Degollado,Escuela en Trejo,0.0005,0.0005,1,2145198.122,465940.0867,Anaerobic Digestion,1,Sewerage,Drainage,
Mexico,Naucalpan de Juarez,57,Naucalpan de Juarez,Conjunto Hab. Sedena Col. Santiago,0.002,0.002,,2156137.465,473070.7706,Septic Tank,1,NA,Drainage,
Mexico,Naucalpan de Juarez,57,Naucalpan de Juarez,Conjunto Hab. Sedena Sta. Cruz Acatlan,0.002,0.002,,2154515.022,474532.0793,Anaerobic Digestion,1,NA,Drainage,
Mexico,Naucalpan de Juarez,57,Naucalpan de Juarez,San Rafael Chamapa,0.002,0.0018,,2151527.074,473046.1462,Anaerobic Digestion,1,NA,Drainage,
Mexico,Naucalpan de Juarez,57,Naucalpan de Juarez,U. H. Lomas Canteras,0.003,0.003,,2152813.007,474479.9283,Anaerobic Digestion,1,NA,Drainage,
Mexico,Papalotla,69,Papalotla,Cabecera Municipal/ Coxotla,0.01,0.003,,2162911.023,514884.4008,Anaerobic Digestion,1,Sewerage,Drainage,
Mexico,Tepetlaoxtoc,93,Tepetlaoxtoc de Hidalgo,Cabecera Municipal de Tepetlaoxtoc,0.016,0.01,,2164392.828,519031.2424,Anaerobic Digestion,1,River,Drainage,Rio Hondo
Mexico,Tepetlaoxtoc,93,San Andres de las Peras,San Andres de las Peras,0.006,0.006,,2162386.466,522099.4616,Anaerobic Digestion,1,River,Drainage,Rio Papalotla
Mexico,Tepetlaoxtoc,93,San Pedro Chiautzingo,San Pedro Chiautzingo,0.006,0.006,,2163634.233,522279.5311,Anaerobic Digestion,1,River,Drainage,Rio Papalotla
Mexico,Texcoco,99,Texcoco de Mora,Universidad de Chapingo,0.01,0.01,1,2155342.583,511016.0056,Anaerobic Digestion,1,NA,Drainage,
